event_id,deficiency_domain,application_type,office,regulatory_pathway,year
CRL_010,Clinical,NDA,Not Available,Not Available,2024
CRL_010,Statistics,NDA,Not Available,Not Available,2024
CRL_011,CMC,NDA,Not Available,Not Available,2024
CRL_025,CMC,NDA,Not Available,Not Available,2025
CRL_026,CMC,NDA,Not Available,Not Available,2024
CRL_026,Nonclinical,NDA,Not Available,Not Available,2024
CRL_026,Regulatory,NDA,Not Available,Not Available,2024
CRL_041,Regulatory,NDA,Not Available,Not Available,2025
CRL_067,CMC,BLA,Not Available,Not Available,2025
CRL_087,CMC,BLA,Not Available,Not Available,2025
CRL_104,CMC,NDA,Specialty Medicine,505(b)(2),2021
CRL_104,Clinical,NDA,Specialty Medicine,505(b)(2),2021
CRL_109,Clinical,NDA,Drug Evaluation 2,505(b),2015
CRL_123,CMC,NDA,Drug Evaluation 1,505(b)(2),2013
CRL_123,Patent Certifications,NDA,Drug Evaluation 1,505(b)(2),2013
CRL_132,Clinical,NDA,Drug Evaluation 1,505(b)(2),2013
CRL_146,CMC,NDA,Infectious Diseases,505(b)(2),2020
CRL_146,Nonclinical,NDA,Infectious Diseases,505(b)(2),2020
CRL_154,CMC,NDA,Neuroscience,505(b)(2),2020
CRL_154,Clinical,NDA,Neuroscience,505(b)(2),2020
CRL_156,CMC,NDA,Neuroscience,505(b)(2),2019
CRL_156,Clinical,NDA,Neuroscience,505(b)(2),2019
CRL_156,Nonclinical,NDA,Neuroscience,505(b)(2),2019
CRL_199,CMC,NDA,Neuroscience,505(b)(2),2021
CRL_200,CMC,NDA,Drug Evaluation 1,505(b)(2),2018
CRL_200,Patent Certifications,NDA,Drug Evaluation 1,505(b)(2),2018
CRL_200,Regulatory,NDA,Drug Evaluation 1,505(b)(2),2018
CRL_219,CMC,NDA,Neuroscience,505(b)(2),2020
CRL_219,Regulatory,NDA,Neuroscience,505(b)(2),2020
CRL_229,CMC,NDA,Infectious Diseases,505(b),2022
CRL_238,CMC,NDA,"Cardiology, Hematology, Endocrinology, and Nephrology",505(b)(2),2023
CRL_246,CMC,BLA,Drug Evaluation 2,351(k),2018
CRL_279,Clinical,BLA,Neuroscience,351(a),2023
CRL_300,CMC,NDA,Drug Evaluation 1,505(b)(2),2014
CRL_300,Patent Certifications,NDA,Drug Evaluation 1,505(b)(2),2014
CRL_300,Regulatory,NDA,Drug Evaluation 1,505(b)(2),2014
CRL_327,CMC,NDA,Hematology & Oncology Products,505(b)(2),2018
CRL_356,Clinical,NDA,Oncologic Diseases,505(b),2021
CRL_356,Statistics,NDA,Oncologic Diseases,505(b),2021
CRL_371,CMC,NDA,Not Available,Not Available,2025
CRL_371,Nonclinical,NDA,Not Available,Not Available,2025
